Surname;GivenName;Gender;Age;Birthday;Centimeters;Kilograms;ZipCode;StreetAddress;City;TelephoneNumber
Marier      ;Christian;;56;;181;70.5;80100;35 rue Gontier-Patin         ;ABBEVILLE           ;325.210.179
Paquin      ;Amaury   ;male  ;60;10/16/1963;173;91.6;33150;7 rue Porte d'Orange         ;;520.222.678
Courcelle   ;Agate    ;;;6/22/1969;154;81.1;62110;65 rue des Lacs              ;HÉNIN-BEAUMONT      ;
Langlois    ;Christell;female;37;1/6/1987;167;80.3;31170;9 quai Saint-Nicolas         ;TOURNEFEUILLE       ;568.387.591
Grandpré    ;Baptiste ;;43;6/18/1980;158;84.6;95110;24 rue des six frères Ruellan;SANNOIS             ;125.482.191
Bourgeau    ;Mariette ;female;;9/19/1962;157;82.3;8000;31 place Maurice-Charretier  ;CHARLEVILLE-MÉZIÈRES;333.587.192
Bernier     ;Courtland;male  ;54;5/5/1970;170;75.7;78140;41 boulevard d'Alsace        ;VÉLIZY-VILLACOUBLAY ;175.060.594
Mousseau    ;Hortense ;female;71;1/25/1953;165;76.9;75012;58 Place de la Madeleine     ;PARIS               ;
Courtois    ;Musette  ;female;80;5/26/1943;;107.8;93170;57 Rue Joseph Vernet         ;;155.851.537
Jomphe      ;Gaston   ;male  ;72;8/3/1951;173;;;75 rue Lenotre               ;;295.461.791
Duranseau   ;Jérôme   ;male  ;;3/2/1977;;107.5;51100;;REIMS               ;
Lamoureux   ;Joanna   ;female;65;11/4/1958;165;79.8;33400;64 rue du Faubourg National  ;TALENCE             ;524.774.155
Lemaître    ;Chantal  ;female;38;3/3/1986;163;61.3;93270;55 avenue de Bouvines        ;SEVRAN              ;
Longpré     ;Platt    ;male  ;;5/26/1947;163;93.2;52000;;;
Descoteaux  ;Raymond  ;male  ;;;182;;93140;91 avenue de l'Amandier      ;BONDY               ;112.347.260
Bourget     ;Burrell  ;male  ;49;2/2/1975;;67.3;83300;76 rue des lieutemants Thomaz;DRAGUIGNAN          ;426.465.329
Carrière    ;Arienne  ;;44;2/14/1980;;60.6;62100;13 Chemin Du Lavarin Sud     ;CALAIS              ;382.772.438
Viens       ;Erembourg;female;;;162;58.7;56100;;LORIENT             ;292.409.173
Compagnon   ;Loyal    ;male  ;;12/31/1979;186;114.1;78150;24 boulevard Aristide Briand ;LE CHESNAY          ;
Querry      ;Arlette  ;female;54;4/3/1970;;53.2;93380;83 rue Clement Marot         ;PIERREFITTE-SUR-SEIN;
Marois      ;Millard  ;male  ;;7/3/1946;174;94.9;13015;;;466.598.369
Dupéré      ;Laverne  ;female;71;8/12/1952;159;58.5;13002;88 rue Beauvau               ;MARSEILLE           ;409.322.454
Fouquet     ;Sébastien;;73;1/2/1951;179;78.2;83200;;;413.926.988
Desnoyer    ;Christoph;male  ;36;6/22/1987;;83;;;ORLY                ;121.297.961
Gaillard    ;Perrin   ;;48;11/22/1975;172;65.6;75006;22 rue Nationale             ;PARIS               ;
Cyr         ;Leone    ;female;34;5/2/1990;161;66.9;83400;98 rue des Lacs              ;HYÈRES              ;441.284.771
Vaillancourt;Serge    ;;;5/30/1978;178;;;90 rue Adolphe Wurtz         ;LE PUY-EN-VELAY     ;450.271.370
Raymond     ;Pryor    ;male  ;32;6/28/1991;169;73.6;95100;52 Avenue De Marlioz         ;ARGENTEUIL          ;134.756.637
Thériault   ;Millicent;female;;2/26/2002;168;72.2;45100;;ORLÉANS             ;299.810.777
Beaudouin   ;Tempeste ;female;80;;153;71.1;93220;85 rue Saint Germain         ;GAGNY               ;138.587.748
Camus       ;Léon     ;;66;6/8/1957;178;107.9;97142;48 rue du Général Ailleret   ;;503.735.742
Lamare      ;Antoine  ;male  ;20;11/24/2003;170;77.8;95200;64 rue des six frères Ruellan;SARCELLES           ;124.289.976
Faure       ;Scoville ;;74;;165;76.2;26100;32 rue de Groussay           ;ROMANS-SUR-ISÈRE    ;429.809.356
Moquin      ;Julien   ;;74;5/6/1950;164;81.3;39000;;LONS-LE-SAUNIER     ;355.081.734
Faucher     ;Mathilde ;female;37;1/17/1987;164;51.8;45000;71 Rue Roussy                ;ORLÉANS             ;206.945.750
Favreau     ;Lundy    ;female;;;155;96.2;34500;6 rue Marie de Médicis       ;BÉZIERS             ;411.545.045
Lejeune     ;France   ;female;49;5/4/1975;173;98.5;93120;36 rue des Soeurs            ;LA COURNEUVE        ;160.122.558
Gervais     ;Orlene   ;female;37;8/17/1986;159;64.9;92320;24 rue du Gue Jacquet        ;CHÂTILLON           ;172.749.331
Petit       ;Searlait ;female;46;3/25/1978;166;;30100;30 rue de Geneve             ;ALÈS                ;
Roux        ;Verney   ;male  ;;;165;;88100;20 rue Pierre Motte          ;SAINT-DIÉ           ;398.731.543
Bondy       ;Donatien ;male  ;43;2/12/1981;186;110.3;73000;;CHAMBÉRY            ;
Émond       ;Laurette ;female;82;3/14/1942;167;52.5;92220;72 Rue Joseph Vernet         ;;174.835.556
Chassé      ;Landers  ;male  ;49;8/16/1974;169;104.9;;10 rue Isambard              ;FRÉJUS              ;462.222.329
Pouchard    ;Avenall  ;;69;4/13/1955;;109.7;66100;;;416.743.659
Beausoleil  ;Germaine ;;48;12/26/1975;;99.4;97110;40 rue de la Boétie          ;POINTE-À-PITRE      ;548.111.345
Desforges   ;Harbin   ;male  ;54;5/25/1969;177;112.9;92360;;MEUDON-LA-FORÊT     ;171.551.933
Renaud      ;Viollette;female;27;;160;60.5;81000;50 Chemin des Bateliers      ;ALBI                ;535.465.151
Henrichon   ;Moore    ;male  ;72;11/3/1951;177;;37200;20 avenue Jean Portalis      ;TOURS               ;270.672.801
Parent      ;Loring   ;male  ;60;1/16/1964;167;83;94310;80 boulevard Amiral Courbet  ;;199.150.890
Gousse      ;Estelle  ;female;43;2/4/1981;156;;64000;59 Faubourg Saint Honoré     ;PAU                 ;523.220.368
Carignan    ;Tempeste ;female;50;10/9/1973;156;64.5;59800;;LILLE               ;
Migneault   ;Pierrette;female;63;3/4/1961;;57.2;62800;91 Chemin Challet            ;LIÉVIN              ;322.189.516
Franchet    ;Louise   ;female;59;10/28/1964;173;72.3;92270;27 avenue de l'Amandier      ;;160.170.240
Laderoute   ;Crescent ;female;23;5/1/2001;166;51.5;78170;94 rue des Soeurs            ;LA CELLE-SAINT-CLOUD;193.542.225
Garceau     ;Senior   ;male  ;54;7/7/1969;182;81.2;69006;68 rue Banaudon              ;LYON                ;408.200.180
Jobin       ;Timothée ;male  ;;;189;66.7;59170;84 boulevard Bryas           ;CROIX               ;376.999.118
L'Angelier  ;Victor   ;male  ;84;8/29/1939;173;68.9;18000;80 rue Petite Fusterie       ;BOURGES             ;222.479.819
Simon       ;Royden   ;male  ;85;;170;98.3;78120;70 rue Lenotre               ;RAMBOUILLET         ;
Boncoeur    ;Lothair  ;male  ;66;5/5/1958;177;62.6;;84 rue de Lille              ;ARMENTIÈRES         ;357.581.690
Émond       ;Ferragus ;male  ;;;179;90.2;91700;78 rue Sébastopol            ;SAINTE-GENEVIÈVE-DES;144.000.675
Laderoute   ;Bernard  ;male  ;67;10/26/1956;183;;62000;79 rue de Lille              ;ARRAS               ;307.549.309
Laramée     ;Arnou    ;male  ;41;2/14/1983;182;115.4;94320;;THIAIS              ;
Verreau     ;Sydney   ;;;8/31/2001;154;49.9;62400;;BÉTHUNE             ;365.008.663
Couture     ;Lundy    ;female;;7/20/1982;173;98.9;94130;85 boulevard de Prague       ;NOGENT-SUR-MARNE    ;189.003.298
Dandonneau  ;Sennet   ;male  ;60;6/6/1963;168;72.8;77100;79 Quai des Belges           ;MEAUX               ;121.106.030
Racine      ;Arlette  ;female;42;6/29/1981;167;105.3;76620;88 rue Michel Ange           ;LE HAVRE            ;
Deschênes   ;Arianne  ;female;53;;158;;60000;24 rue Jean Vilar            ;BEAUVAIS            ;390.189.070
Savoie      ;Delit    ;female;73;10/11/1950;;88;;4 boulevard d'Alsace         ;VERDUN              ;308.936.197
Lebrun      ;Laurence ;female;44;12/22/1979;154;61.9;59210;;COUDEKERQUE-BRANCHE ;
Desroches   ;Honore   ;female;65;11/5/1958;159;85.8;4000;44 rue des lieutemants Thomaz;DIGNE-LES-BAINS     ;493.214.329
Grimard     ;Anne     ;;;;171;56.4;42100;;SAINT-ÉTIENNE       ;
Durand      ;Xavierre ;;;12/11/1963;171;73.4;94300;39 rue Marguerite            ;VINCENNES           ;145.656.556
Bisson      ;Magnolia ;female;62;10/23/1961;155;99.7;69110;70 rue Pierre Motte          ;SAINTE-FOY-LÈS-LYON ;467.193.924
Bériault    ;Paien    ;;;9/27/1994;180;102.5;;71 rue du Président Roosevelt;SAVIGNY-SUR-ORGE    ;
Laisné      ;Donat    ;;29;;173;;35400;16 rue des Dunes             ;SAINT-MALO          ;219.969.687
Auberjonois ;Fifine   ;female;39;10/4/1984;174;73.3;69300;63 Rue Marie De Médicis      ;CALUIRE-ET-CUIRE    ;
Givry       ;Yolande  ;female;29;;156;;57070;61 Rue St Ferréol            ;METZ                ;309.347.212
Bergeron    ;Geneviève;female;48;12/21/1975;174;74.5;69003;77 rue de la République      ;LYON                ;
Gauthier    ;Demi     ;;;4/26/1941;151;;13013;;;494.848.813
Déziel      ;Etoile   ;female;;2/2/1984;158;76.5;69007;23 rue Banaudon              ;LYON                ;470.438.589
Lepage      ;Delmare  ;;46;10/26/1977;;65.9;91000;11 rue Gustave Eiffel        ;RIS-ORANGIS         ;
Dandonneau  ;Caroline ;female;40;5/13/1984;167;86.9;75015;;PARIS               ;130.760.364
Rodrigue    ;Fauna    ;female;57;11/9/1966;169;85.8;92100;58 cours Jean Jaures         ;BOULOGNE-BILLANCOURT;134.890.150
Roussel     ;Florus   ;;73;3/24/1951;180;;97410;46 rue Gouin de Beauchesne   ;;219.706.727
Collin      ;Carole   ;female;55;12/1/1968;166;96.9;;92 place de Miremont         ;VILLENEUVE-SAINT-GEO;
Montminy    ;Pryor    ;male  ;28;5/28/1995;189;109.2;75011;34 Place de la Madeleine     ;PARIS               ;161.350.081
Salois      ;Barry    ;male  ;75;3/5/1949;172;78.8;42000;15 rue Sébastopol            ;SAINT-ÉTIENNE       ;427.873.703
Rhéaume     ;Édouard  ;male  ;43;11/1/1980;178;85.4;;38 Quai des Belges           ;;
Guérette    ;Philippin;female;57;5/21/1966;163;73.1;;77 avenue Jean Portalis      ;;327.048.960
Tachel      ;Agate    ;female;56;7/9/1967;163;59;94130;87 boulevard de Prague       ;NOGENT-SUR-MARNE    ;136.096.304
Corbeil     ;Emmanuell;female;;7/22/1947;160;95.6;;75 Rue Roussy                ;OLIVET              ;257.600.121
Laberge     ;Russell  ;male  ;31;1/10/1993;184;68.3;13400;30 rue de Lille              ;AUBAGNE             ;495.080.219
Charlesbois ;Vallis   ;male  ;;8/9/1985;184;95.5;59280;96 rue de Lille              ;;
Chenard     ;Linette  ;female;38;6/30/1985;172;49.1;78700;48 rue Victor Hugo           ;CONFLANS-SAINTE-HONO;107.717.132
Brochu      ;Malagigi ;male  ;;5/29/1958;181;100.3;94170;2 rue Goya                   ;LE PERREUX-SUR-MARNE;148.982.457
LaGarde     ;Christabe;female;56;5/25/1967;155;66.6;68300;8 avenue du Marechal Juin    ;SAINT-LOUIS         ;324.166.169
Aubin       ;Merlin   ;male  ;85;10/19/1938;168;86.5;63000;21 Rue de Strasbourg         ;CLERMONT-FERRAND    ;
Hébert      ;Frédériqu;female;47;11/6/1976;165;73.2;;19 rue Sébastopol            ;SAINTE-MARIE        ;556.531.910
Corbeil     ;Chapin   ;male  ;33;7/30/1990;187;110;39000;40 Rue Hubert de Lisle       ;LONS-LE-SAUNIER     ;344.428.764
Moïse       ;Montague ;male  ;;5/30/1989;173;88.6;59240;80 rue Cazade                ;DUNKERQUE           ;384.573.993
Beaulieu    ;Caroline ;female;27;4/25/1997;159;;;25 Rue Marie De Médicis      ;CANNES-LA-BOCCA     ;423.939.466
Charron     ;Roger    ;male  ;;1/22/1954;173;101.9;75116;;PARIS               ;179.294.584
Pichette    ;Paul     ;male  ;;6/23/1988;;98.6;47000;72 rue Gontier-Patin         ;AGEN                ;559.723.063
Bellefeuille;Alice    ;female;;9/10/1981;166;72.2;97460;;SAINT-PAUL          ;281.335.973
Fugère      ;Yolette  ;female;49;5/27/1974;154;57.4;97160;18 rue Goya                  ;;566.382.324
Desjardins  ;Fanchon  ;;36;2/21/1988;154;;5000;85 rue Saint Germain         ;;
St-Pierre   ;Soren    ;male  ;;;162;;44700;16 boulevard Amiral Courbet  ;ORVAULT             ;291.742.109
Poirier     ;Bruce    ;male  ;;5/17/1976;173;112.6;69500;61 rue Grande Fusterie       ;;472.766.321
Cyr         ;Claudette;;66;8/20/1957;167;70.3;31200;93 rue Pierre De Coubertin   ;;510.141.481
Blanchard   ;Agnès    ;female;32;3/4/1992;170;61.7;59200;31 quai Saint-Nicolas        ;TOURCOING           ;390.349.509
Lebrun      ;Villette ;female;47;10/11/1976;160;;;;;492.743.820
Moquin      ;Neville  ;male  ;57;8/9/1966;175;85.9;19100;21 rue Grande Fusterie       ;;
Méthot      ;Clementin;female;60;10/24/1963;169;79;6200;29 rue des Chaligny          ;NICE                ;491.849.638
Sciverit    ;Fabien   ;;59;9/28/1964;175;108.2;21200;99 Rue du Limas              ;BEAUNE              ;357.916.832
Desilets    ;Methena  ;female;30;10/14/1993;174;54.7;76130;17 rue des Coudriers         ;MONT-SAINT-AIGNAN   ;261.479.684
Chastain    ;Leal     ;male  ;74;;175;69.2;34200;;SÈTE                ;461.718.872
Babin       ;Alfred   ;male  ;;11/27/1981;;77.8;91200;13 rue de Lille              ;ATHIS-MONS          ;124.237.144
Corbin      ;Didier   ;male  ;27;12/10/1996;172;87.1;92240;30 avenue Voltaire           ;MALAKOFF            ;107.533.335
Laboissonniè;Blanchefl;;85;6/24/1938;152;72.5;33700;64 rue Reine Elisabeth       ;MÉRIGNAC            ;521.586.912
Coudert     ;Jolie    ;female;59;4/21/1965;171;100.1;93250;66 Place Charles de Gaulle   ;;190.903.973
Perreault   ;Slainie  ;female;64;3/17/1960;;59.8;13015;14 boulevard de la Liberation;MARSEILLE           ;426.980.690
Quessy      ;Charmaine;female;27;4/7/1997;172;69;38000;50 avenue Ferdinand de Lessep;GRENOBLE            ;416.254.072
Béland      ;Ruby     ;female;77;9/18/1946;164;96;71300;69 Rue de Verdun             ;MONTCEAU-LES-MINES  ;377.787.572
Côté        ;Pansy    ;female;51;;;55.2;;8 rue des Nations Unies      ;;186.583.229
Benjamin    ;Catherine;female;68;2/2/1956;164;86.4;91220;95 rue Grande Fusterie       ;BRÉTIGNY-SUR-ORGE   ;102.917.479
Blondlot    ;Eloise   ;;;6/13/1953;162;97;75009;;;147.020.921
Brasseur    ;Jeoffroi ;male  ;;5/24/2003;179;79.9;30000;30 boulevard de Prague       ;NÎMES               ;
Fournier    ;Gill     ;male  ;36;11/13/1987;184;99.6;31170;38 quai Saint-Nicolas        ;TOURNEFEUILLE       ;590.816.963
Arpin       ;Frédéric ;male  ;24;1/1/2000;185;62.7;97400;53 rue Pierre Motte          ;SAINT-DENIS         ;122.053.079
Pitre       ;Isabelle ;female;21;10/22/2002;169;82.4;91350;37 Avenue des Tuileries      ;GRIGNY              ;150.336.793
Jobin       ;Cammile  ;female;48;8/7/1975;163;96.5;27200;41 Rue Frédéric Chopin       ;VERNON              ;
Cliche      ;Marine   ;female;;1/2/1975;;78;;15 avenue du Marechal Juin   ;;385.238.040
De La Vergne;Geneviève;female;48;1/6/1976;163;;75116;67 Faubourg Saint Honoré     ;PARIS               ;148.400.163
Doyon       ;Thierry  ;male  ;31;10/5/1992;178;110.6;75004;;PARIS               ;183.028.853
Pelchat     ;Capucine ;female;25;;;60.7;;20 rue Charles Corbeau       ;FOIX                ;566.120.405
Clément     ;Hamilton ;;55;11/1/1968;171;;;37 avenue du Marechal Juin   ;SAINT-LEU           ;287.766.115
Desnoyers   ;Gifford  ;male  ;83;2/22/1941;183;90.1;93260;69 rue du Général Ailleret   ;LES LILAS           ;177.159.821
Lamothe     ;Donat    ;;46;9/18/1977;167;92.9;97480;65 rue du Château            ;SAINT-JOSEPH        ;205.584.880
Brault      ;Ganelon  ;male  ;47;;180;90.7;;99 rue du Paillle en queue   ;LEVALLOIS-PERRET    ;
Lacharité   ;Tanguy   ;;84;7/14/1939;164;68.7;56600;93 Place Napoléon            ;LANESTER            ;
Déziel      ;Claude   ;male  ;22;;169;;11100;54 rue de Raymond Poincaré   ;;
Faubert     ;Arienne  ;female;51;;171;88.9;13013;;MARSEILLE           ;493.774.842
Boutot      ;Melodie  ;female;;;;65.8;55100;41 boulevard d'Alsace        ;;376.052.127
Trudeau     ;Charlotte;female;59;7/21/1964;165;99.9;;93 Place de la Madeleine     ;PARIS               ;
Perrault    ;Viollette;female;28;2/25/1996;169;60.2;78370;;PLAISIR             ;136.792.588
Beaulieu    ;Timothée ;male  ;74;;180;74.8;;25 rue Clement Marot         ;;535.431.595
Poissonnier ;Melusina ;female;25;11/8/1998;171;86.1;73100;65 Chemin des Bateliers      ;AIX-LES-BAINS       ;467.207.289
Blondlot    ;Jay      ;male  ;83;;;;91210;22 rue Cazade                ;DRAVEIL             ;152.779.897
Echeverri   ;Baptiste ;;37;6/26/1986;173;69.1;92270;38 avenue de l'Amandier      ;BOIS-COLOMBES       ;193.651.547
Charpie     ;Lirienne ;female;;2/27/1980;156;95.3;6200;;NICE                ;447.749.815
Garnier     ;Georges  ;male  ;60;12/3/1963;168;107.6;;11 rue de la Hulotais        ;;479.128.982
Deblois     ;Christell;female;;8/5/1967;173;74.4;78300;65 rue de la Boétie          ;POISSY              ;
Reault      ;Marc     ;;36;5/21/1987;186;;93140;88 avenue de l'Amandier      ;;170.684.913
Cuillerier  ;Ancelina ;female;48;9/12/1975;169;61.3;;;GAP                 ;
Vadnais     ;Hugues   ;male  ;85;8/11/1938;175;60.8;93150;42 Place Napoléon            ;LE BLANC-MESNIL     ;153.347.002
Laforest    ;Zoé      ;female;36;;173;90.7;59491;76 Place Charles de Gaulle   ;VILLENEUVE-D'ASCQ   ;361.766.990
Coulombe    ;Robert   ;male  ;26;3/29/1998;182;105.7;97436;78 avenue du Marechal Juin   ;;242.166.358
Ruest       ;Amorette ;female;66;12/6/1957;;81.4;;25 rue Gontier-Patin         ;AIX-EN-PROVENCE     ;426.387.996
Larivière   ;Norris   ;male  ;;3/13/1987;181;89.8;;;;
Bourque     ;Marcel   ;;25;7/19/1998;;;;28 rue Pierre Motte          ;SAINT-DIZIER        ;
Latourelle  ;Arridano ;male  ;55;8/29/1968;168;79.6;;61 rue Bonneterie            ;;516.731.277
Voisine     ;Philippe ;male  ;;8/2/1991;177;101.8;75008;;PARIS               ;
Mazuret     ;Anne     ;female;60;7/30/1963;160;;93210;47 rue de l'Aigle            ;LA PLAINE-SAINT-DENI;121.171.255
Grimard     ;Zacharie ;male  ;55;7/5/1968;187;67.1;77420;40 place Maurice-Charretier  ;CHAMPS-SUR-MARNE    ;153.196.210
Marcil      ;Royale   ;;38;2/2/1986;;72.2;78500;12 rue du Président Roosevelt;SARTROUVILLE        ;137.045.902
Moquin      ;Fifi     ;female;21;11/15/2002;163;99.2;55000;;BAR-LE-DUC          ;320.738.143
Lemieux     ;Michel   ;male  ;79;11/16/1944;178;97.9;69110;92 rue Pierre Motte          ;SAINTE-FOY-LÈS-LYON ;
Boileau     ;Slainie  ;;;;174;48.7;93400;38 rue Gouin de Beauchesne   ;SAINT-OUEN          ;128.017.673
Brousse     ;Zurie    ;female;62;6/11/1961;170;67.7;;21 rue Descartes             ;STRASBOURG          ;395.595.330
Piedalue    ;Marlon   ;male  ;51;1/27/1973;187;114.1;91800;43 rue Grande Fusterie       ;BRUNOY              ;198.697.588
Chauvin     ;Ancelote ;female;37;11/6/1986;;80.8;59430;23 rue de la Hulotais        ;SAINT-POL-SUR-MER   ;383.662.248
Meunier     ;Yseult   ;;80;3/22/1944;163;103.9;;48 rue de l'Aigle            ;;117.423.247
Gamelin     ;Honoré   ;male  ;70;2/7/1954;182;74.9;59200;98 quai Saint-Nicolas        ;TOURCOING           ;379.045.772
Marier      ;Cloridan ;;;3/17/1956;170;94.2;92160;;ANTONY              ;158.638.673
Bizier      ;Florence ;;;4/1/1978;153;94.4;76120;13 boulevard Aristide Briand ;LE GRAND-QUEVILLY   ;264.326.830
Legault     ;Tabor    ;male  ;77;8/4/1946;184;91.6;38300;83 rue Petite Fusterie       ;BOURGOIN-JALLIEU    ;409.069.683
Côté        ;Dreux    ;male  ;66;;168;80.1;86100;;CHÂTELLERAULT       ;508.888.078
Grimard     ;Blanchefl;female;74;;;54.3;47000;46 rue Gontier-Patin         ;AGEN                ;522.843.564
Huppé       ;Élisabeth;female;65;;157;79.8;69002;75 rue de la République      ;LYON                ;444.548.728
Garnier     ;Olympia  ;;41;10/14/1982;165;;80080;;AMIENS              ;360.247.021
Veilleux    ;Sophie   ;female;72;3/30/1952;;76.8;;;SAINT-MALO          ;240.812.548
Villeneuve  ;Sidney   ;male  ;33;12/6/1990;187;84.3;59400;6 Rue Marie De Médicis       ;CAMBRAI             ;326.074.092
Gauthier    ;Pensee   ;;51;4/24/1973;;58.7;85000;;;230.026.878
Douffet     ;Georges  ;male  ;70;6/26/1953;;73.6;;2 rue des Chaligny           ;NICE                ;485.636.211
Racine      ;La Roux  ;female;41;;;99.1;;;ANNECY              ;449.929.769
Talon       ;Amorette ;female;42;8/31/1981;160;;;61 boulevard de Prague       ;;187.306.797
Saindon     ;Antoinett;female;61;8/11/1962;169;92.8;59220;2 Cours Marechal-Joffre      ;DENAIN              ;310.855.198
Chartier    ;Julienne ;female;71;4/25/1953;160;78.5;13013;34 boulevard de la Liberation;;454.990.684
Authier     ;Eugène   ;male  ;;10/5/1991;169;;76620;;LE HAVRE            ;
Auger       ;Thibaut  ;male  ;80;4/7/1944;;59.9;13127;15 Rue Bonnet                ;VITROLLES           ;480.032.331
Dupéré      ;Chappell ;;82;12/11/1941;165;74.6;82000;67 rue Bonneterie            ;MONTAUBAN           ;521.374.469
Fortier     ;Tilly    ;female;30;9/10/1993;159;;94600;;;134.934.516
Lavallée    ;Lowell   ;male  ;53;;;73.2;57070;76 Rue St Ferréol            ;METZ                ;312.492.376
Gervais     ;René     ;male  ;43;;189;66.5;78130;;LES MUREAUX         ;118.939.904
Pariseau    ;Luce     ;female;84;7/5/1939;166;91.4;38200;97 Place du Jeu de Paume     ;VIENNE              ;
Loiseau     ;Pensee   ;female;27;6/12/1996;163;100.9;69100;80 rue Marguerite            ;VILLEURBANNE        ;478.145.952
Clément     ;Victor   ;male  ;53;6/28/1970;169;94.3;66000;44 rue Clement Marot         ;PERPIGNAN           ;475.394.923
Latourelle  ;Fabienne ;;48;;168;96.2;45100;71 boulevard Amiral Courbet  ;ORLÉANS             ;250.282.040
Émond       ;Florismar;male  ;;4/12/1982;186;97.1;97231;76 rue Adolphe Wurtz         ;LE ROBERT           ;
Bourgeau    ;Arridano ;male  ;37;12/21/1986;186;97.7;94170;21 rue Goya                  ;LE PERREUX-SUR-MARNE;105.133.733
Fongemie    ;Arianne  ;female;45;1/31/1979;159;;97400;43 rue Pierre Motte          ;SAINT-DENIS         ;197.810.621
Ruest       ;Searlas  ;;28;9/16/1995;177;92.7;47300;14 place de Miremont         ;VILLENEUVE-SUR-LOT  ;547.950.979
Ruais       ;Arber    ;male  ;37;7/26/1986;184;;59640;80 Avenue Millies Lacroix    ;DUNKERQUE           ;399.661.803
Beaudry     ;Talon    ;male  ;77;7/4/1946;182;82.8;91210;53 rue Cazade                ;DRAVEIL             ;168.496.926
Bergeron    ;David    ;male  ;49;2/14/1975;177;104.2;;52 Rue de Verdun             ;MONTCEAU-LES-MINES  ;
Sanschagrin ;Malagigi ;male  ;45;8/23/1978;182;106.8;;;PARIS               ;
Provencher  ;Laetitia ;female;54;;154;87.1;94210;41 rue du Clair Bocage       ;;199.201.918
Barrette    ;Adélaïde ;;59;7/4/1964;173;101.6;91160;33 rue Léon Dierx            ;LONGJUMEAU          ;151.805.599
Beaudouin   ;Joséphine;female;73;11/4/1950;167;61.2;93190;71 rue Léon Dierx            ;LIVRY-GARGAN        ;
Vaillancourt;Hortense ;female;85;10/5/1938;154;71.9;13127;23 Rue Bonnet                ;VITROLLES           ;455.579.115
Bergeron    ;Dominique;male  ;36;11/28/1987;189;;13012;6 boulevard de la Liberation ;MARSEILLE           ;443.486.257
Bellemare   ;Hugues   ;male  ;63;5/17/1960;183;82;34400;4 Rue Hubert de Lisle        ;LUNEL               ;460.956.069
Dumont      ;Loring   ;male  ;;10/14/1956;175;88.1;;;;583.715.369
Dupuy       ;Rule     ;male  ;21;11/14/2002;168;95.5;39100;92 rue des lieutemants Thomaz;DOLE                ;300.143.009
Aubin       ;Lance    ;male  ;;12/30/1964;182;67.9;;79 rue Pierre De Coubertin   ;;576.854.482
Plouffe     ;Martine  ;female;75;3/3/1949;167;94;33260;;;593.298.149
Archambault ;Royden   ;;33;;185;;45400;94 rue Charles Corbeau       ;FLEURY-LES-AUBRAIS  ;283.456.499
Berger      ;Auriville;;36;3/27/1988;;;13015;85 boulevard de la Liberation;;437.710.980
Chassé      ;Orville  ;male  ;32;5/30/1991;180;86.6;68000;;COLMAR              ;381.768.546
Bois        ;Slainie  ;female;80;4/7/1944;160;79.3;69006;42 rue Banaudon              ;LYON                ;412.325.352
Grimard     ;Aya      ;female;84;7/5/1939;167;74.2;;;CAHORS              ;541.783.690
Briard      ;Christabe;female;65;;155;82.1;5000;27 rue Saint Germain         ;GAP                 ;
Lampron     ;Octave   ;male  ;76;;175;81.2;31100;52 rue Pierre De Coubertin   ;TOULOUSE            ;520.715.330
Théberge    ;Voleta   ;female;45;;162;104;30100;62 rue de Geneve             ;;470.319.051
Lachance    ;Timothée ;male  ;53;10/6/1970;;86;91300;26 Quai des Belges           ;MASSY               ;178.387.427
Poisson     ;Julie    ;female;32;9/19/1991;175;86.1;69400;83 Place du Jeu de Paume     ;VILLEFRANCHE-SUR-SAÔ;454.463.171
Daviau      ;Anton    ;male  ;49;6/22/1974;;102.3;69005;;LYON                ;416.167.595
Marleau     ;Soren    ;male  ;;9/16/1982;188;111.5;97438;96 rue Sébastopol            ;SAINTE-MARIE        ;567.890.285
Laurent     ;Leala    ;female;25;3/24/1999;169;57.4;;92 rue La Boétie             ;PARIS               ;117.633.569
Marier      ;Eloise   ;;31;2/8/1993;159;;13200;80 Avenue De Marlioz         ;ARLES               ;192.112.699
Saindon     ;Fauna    ;female;44;8/7/1979;167;82.2;33260;47 rue du Clair Bocage       ;LA TESTE-DE-BUCH    ;533.549.501
Coupart     ;Claire   ;;64;4/26/1960;161;68.5;67000;;STRASBOURG          ;329.303.651
Lang        ;Harbin   ;;64;9/24/1959;168;88;;84 Place Napoléon            ;LAVAL               ;
Coulombe    ;Edmee    ;female;66;8/6/1957;167;53.8;97419;93 rue de l'Aigle            ;LA POSSESSION       ;226.997.563
Émond       ;Satordi  ;;;5/13/1982;179;90.6;;;CHÂTELLERAULT       ;570.749.931
Perreault   ;Ancelote ;female;43;;157;88.4;97234;45 rue Isambard              ;FORT-DE-FRANCE      ;541.473.031
Duclos      ;Faye     ;female;56;3/2/1968;;98.4;97410;68 rue Gouin de Beauchesne   ;SAINT-PIERRE        ;203.565.663
Bouchard    ;Calandre ;female;77;;162;96;14000;99 Chemin Du Lavarin Sud     ;CAEN                ;
Chaloux     ;Corette  ;female;69;4/14/1955;158;85.6;;26 place de Miremont         ;;
Lapresse    ;Davet    ;male  ;51;1/28/1973;174;66.8;64000;95 Faubourg Saint Honoré     ;PAU                 ;518.899.182
Foucault    ;Magnolia ;female;47;2/19/1977;170;84.2;;77 Rue Hubert de Lisle       ;;461.505.989
